Cultivo,Metodo,Nutriente,pH_clase,Eficiencia
Maíz,Enterrado,Nitrogeno,Muy ácido,
Maíz,Enterrado,Nitrogeno,Ácido,
Maíz,Enterrado,Nitrogeno,Neutro,0.50
Maíz,Enterrado,Nitrogeno,Básico,
Maíz,Enterrado,Nitrogeno,Muy básico,
Maíz,Enterrado,Fosforo,Muy ácido,
Maíz,Enterrado,Fosforo,Ácido,
Maíz,Enterrado,Fosforo,Neutro,0.50
Maíz,Enterrado,Fosforo,Básico,
Maíz,Enterrado,Fosforo,Muy básico,
Maíz,Enterrado,Potasio,Muy ácido,
Maíz,Enterrado,Potasio,Ácido,
Maíz,Enterrado,Potasio,Neutro,0.50
Maíz,Enterrado,Potasio,Básico,
Maíz,Enterrado,Potasio,Muy básico,
Maíz,Enterrado,Calcio,Muy ácido,
Maíz,Enterrado,Calcio,Ácido,
Maíz,Enterrado,Calcio,Neutro,0.50
Maíz,Enterrado,Calcio,Básico,
Maíz,Enterrado,Calcio,Muy básico,
Maíz,Enterrado,Magnesio,Muy ácido,
Maíz,Enterrado,Magnesio,Ácido,
Maíz,Enterrado,Magnesio,Neutro,0.50
Maíz,Enterrado,Magnesio,Básico,
Maíz,Enterrado,Magnesio,Muy básico,
Maíz,Enterrado,Azufre,Muy ácido,
Maíz,Enterrado,Azufre,Ácido,
Maíz,Enterrado,Azufre,Neutro,0.50
Maíz,Enterrado,Azufre,Básico,
Maíz,Enterrado,Azufre,Muy básico,
Maíz,Pateado,Nitrogeno,Muy ácido,
Maíz,Pateado,Nitrogeno,Ácido,
Maíz,Pateado,Nitrogeno,Neutro,
Maíz,Pateado,Nitrogeno,Básico,
Maíz,Pateado,Nitrogeno,Muy básico,
Maíz,Pateado,Fosforo,Muy ácido,
Maíz,Pateado,Fosforo,Ácido,
Maíz,Pateado,Fosforo,Neutro,
Maíz,Pateado,Fosforo,Básico,
Maíz,Pateado,Fosforo,Muy básico,
Maíz,Pateado,Potasio,Muy ácido,
Maíz,Pateado,Potasio,Ácido,
Maíz,Pateado,Potasio,Neutro,
Maíz,Pateado,Potasio,Básico,
Maíz,Pateado,Potasio,Muy básico,
Maíz,Pateado,Calcio,Muy ácido,
Maíz,Pateado,Calcio,Ácido,
Maíz,Pateado,Calcio,Neutro,
Maíz,Pateado,Calcio,Básico,
Maíz,Pateado,Calcio,Muy básico,
Maíz,Pateado,Magnesio,Muy ácido,
Maíz,Pateado,Magnesio,Ácido,
Maíz,Pateado,Magnesio,Neutro,
Maíz,Pateado,Magnesio,Básico,
Maíz,Pateado,Magnesio,Muy básico,
Maíz,Pateado,Azufre,Muy ácido,
Maíz,Pateado,Azufre,Ácido,
Maíz,Pateado,Azufre,Neutro,
Maíz,Pateado,Azufre,Básico,
Maíz,Pateado,Azufre,Muy básico,
Maíz,Voleo,Nitrogeno,Muy ácido,
Maíz,Voleo,Nitrogeno,Ácido,
Maíz,Voleo,Nitrogeno,Neutro,0.50
Maíz,Voleo,Nitrogeno,Básico,
Maíz,Voleo,Nitrogeno,Muy básico,
Maíz,Voleo,Fosforo,Muy ácido,
Maíz,Voleo,Fosforo,Ácido,
Maíz,Voleo,Fosforo,Neutro,0.50
Maíz,Voleo,Fosforo,Básico,
Maíz,Voleo,Fosforo,Muy básico,
Maíz,Voleo,Potasio,Muy ácido,
Maíz,Voleo,Potasio,Ácido,
Maíz,Voleo,Potasio,Neutro,0.50
Maíz,Voleo,Potasio,Básico,
Maíz,Voleo,Potasio,Muy básico,
Maíz,Voleo,Calcio,Muy ácido,
Maíz,Voleo,Calcio,Ácido,
Maíz,Voleo,Calcio,Neutro,0.50
Maíz,Voleo,Calcio,Básico,
Maíz,Voleo,Calcio,Muy básico,
Maíz,Voleo,Magnesio,Muy ácido,
Maíz,Voleo,Magnesio,Ácido,
Maíz,Voleo,Magnesio,Neutro,0.50
Maíz,Voleo,Magnesio,Básico,
Maíz,Voleo,Magnesio,Muy básico,
Maíz,Voleo,Azufre,Muy ácido,
Maíz,Voleo,Azufre,Ácido,
Maíz,Voleo,Azufre,Neutro,0.50
Maíz,Voleo,Azufre,Básico,
Maíz,Voleo,Azufre,Muy básico,
Frijol,Enterrado,Nitrogeno,Muy ácido,
Frijol,Enterrado,Nitrogeno,Ácido,
