Fertilizante,Nitrogeno,Fosforo,Potasio,Calcio,Magnesio,Azufre
Urea,46,0,0,0,0,0
Sulfato de amonio,21,0,0,0,0,24
17-17-17,17,17,17,0,0,0
Amoniaco anhidro,82,0,0,0,0,0
Nitrato de amonio,27,0,0,2,0,0
Nitrato de calcio,15.5,0,0,0,0,0
Nitrato de sodio,16,0,0,0,0,0
Nitrato de potasio,13,3,44,0,0,0
MAP,12,61,0,2,0,22
DAP,18,46,0,0,0,0
Nitrato de magnesio soluble,11,0,0,1,0,0
Nitrato cálcico-amónico,19,0,0,8.8,0,0
Superfosfato simple,0,21,0,0,0,12
Superfosfato triple,0,46,0,14,0,0
Cloruro de potasio,0,0,60,0,0,0
Sulfato de potasio,0,0,50,0,0,18
Sulfato de potasio-magnesio,46,0,22,0,11,22
Yeso agrícola,46,0,0,22.5,0,18
Sulfato de magnesio,0,0,0,0,16,18
Azufre de mina,0,0,0,0,0,33
Vermicomposta,1.9,2,0.8,,0.18,
Tierra de monte,,,,,,
