Fertilizante,Nitrogeno,Fosforo,Potasio,Calcio,Magnesio,Azufre
Urea,0.46,0,0,0,0,0
Sulfato de amonio,0.21,0,0,0,0,0.24
17-17-17,0.17,0.17,0.17,0,0,0
Amoniaco anhidro,0.82,0,0,0,0,0
Nitrato de amonio,0.27,0,0,0.02,0,0
Nitrato de calcio,0.155,0,0,0,0,0
Nitrato de sodio,0.16,0,0,0,0,0
Nitrato de potasio,0.13,0.03,0.44,0,0,0
MAP,0.12,0.61,0,0.02,0,0.22
DAP,0.18,0.46,0,0,0,0
Nitrato de magnesio soluble,0.11,0,0,0.01,0,0
Nitrato calcico-amonico,0.19,0,0,0.088,0,0
Superfosfato simple,0,0.21,0,0,0,0.12
Superfosfato triple,0,0.46,0,0.14,0,0
Cloruro de potasio,0,0,0.60,0,0,0
Sulfato de potasio,0,0,0.50,0,0,0.18
Sulfato de potasio-magnesio,0.46,0,0.22,0,0.11,0.22
Yeso agricola,0.46,0,0,0.225,0,0.18
Sulfato de magnesio,0,0,0,0,0.16,0.18
Azufre de mina,0,0,0,0,0,0.33
Vermicomposta,0.019,0.02,0.08,,0.018,
Tierra de monte,,,,,,
